QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
281610,281610,Homeworld: Deserts of Kharak,Homeworld: Deserts of Kharak,Jan 20 2016,79,2011,9,139534,67,49.99
281640,281640,The Banner Saga 2,The Banner Saga 2,Apr 19 2016,82,711,22,92903,55,19.99
281750,281750,Munin,Munin,Jun 10 2014,68,189,9,49142,18,9.99
281840,281840,4PM,4PM,Jul 9 2014,41,220,5,13631,0,2.99
281940,281940,Woolfe - The Red Hood Diaries,Woolfe - The Red Hood Diaries,Mar 17 2015,55,947,9,61696,20,9.99
281990,281990,Stellaris,Stellaris,May 9 2016,78,9324,12,684577,23,39.99
282070,282070,This War of Mine,This War of Mine,Nov 14 2014,83,19903,16,1606793,30,19.99
282140,282140,SOMA,SOMA,Sep 21 2015,84,6144,9,334128,10,29.99
282210,282210,Sid Meier's Starships,Sid Meiers Starships,Mar 12 2015,64,1737,5,289291,31,14.99
282900,282900,Hyperdimension Neptunia Re;Birth1,Hyperdimension Neptunia Re;Birth1 / Chao Ci Ci Yuan geimu neputeyunuRe;Birth1,Jan 29 2015,72,6149,30,316193,45,29.99
283180,283180,The Samaritan Paradox,The Samaritan Paradox,Apr 18 2014,75,101,12,43044,17,9.99
283290,283290,Nosferatu: The Wrath of Malachi,Nosferatu: The Wrath of Malachi,Mar 6 2014,70,1650,14,450347,0,9.99
283350,283350,Eurofighter Typhoon,Eurofighter Typhoon,May 2 2014,69,135,9,134871,0,9.99
283370,283370,Marine Sharpshooter II: Jungle Warfare,Marine Sharpshooter II: Jungle Warfare,Apr 3 2014,52,506,8,195132,0,9.99
283390,283390,Incoming Forces,Incoming Forces,Mar 6 2014,67,174,5,152626,0,9.99
283640,283640,Salt and Sanctuary,Salt and Sanctuary,May 17 2016,84,2021,10,139713,37,17.99
283680,283680,Astebreed,Astebreed,May 30 2014,86,927,10,122137,40,14.99
284390,284390,The Last Door - Collector's Edition,The Last Door - Collectors Edition,May 20 2014,79,581,10,67077,16,9.99
284460,284460,DeadCore,DeadCore,Oct 17 2014,78,1212,15,200333,29,9.99
285330,285330,RollerCoaster Tycoon 2: Triple Thrill Pack,RollerCoaster Tycoon(r) 2: Triple Thrill Pack,May 21 2014,74,1272,5,472227,0,9.99
285440,285440,Crimzon Clover  WORLD IGNITION,Crimzon Clover WORLD IGNITION,Jun 6 2014,85,753,21,116219,35,9.99
285820,285820,Action Henk,Action Henk,May 11 2015,74,295,7,91289,21,14.99
286040,286040,Dead Effect,Dead Effect,Dec 17 2014,59,2080,28,185447,61,4.99
286140,286140,Eidolon,Eidolon,Aug 1 2014,64,259,19,73892,0,15
286280,286280,Steel Armor: Blaze of War,Steel Armor: Blaze of War,Mar 5 2015,70,111,76,5380,43,29.99
286320,286320,Oknytt,Oknytt,Apr 4 2014,61,242,8,56854,10,4.99
286460,286460,Black Mirror II,Black Mirror II,Apr 2 2014,71,132,8,53984,0,9.99
286570,286570,F1 2015,F1 2015,Jul 9 2015,61,2170,24,117653,45,54.99
287020,287020,Harvester,Harvester,Apr 4 2014,53,374,7,52370,0,5.99
287120,287120,Ionball 2 : Ionstorm,Ionball 2: Ionstorm,Jun 6 2014,70,461,18,274943,26,4.99
287260,287260,Toybox Turbos,Toybox Turbos,Nov 11 2014,69,531,5,82501,16,14.99
287390,287390,Metro: Last Light Redux,Metro: Last Light Redux,Aug 25 2014,76,6677,5,1317681,49,19.99
287450,287450,Rise of Nations: Extended Edition,Rise of Nations: Extended Edition,Jun 12 2014,89,3142,7,657316,38,19.99
287600,287600,Sunset,Sunset,May 21 2015,66,175,32,20625,100,19.99
287700,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,METAL GEAR SOLID V: THE PHANTOM PAIN,Sep 1 2015,91,26956,28,1213479,42,39.99
287980,287980,Mini Metro,Mini Metro,Nov 6 2015,77,3483,12,279068,26,9.99
288040,288040,Actual Sunlight,Actual Sunlight,Apr 3 2014,77,323,6,7712,1,4.99
288060,288060,Whispering Willows,Whispering Willows,Jul 9 2014,64,389,10,35153,20,9.99
288160,288160,The Room,The Room,Jul 28 2014,73,4054,8,171817,5,4.99
288260,288260,Conflicks - Revolutionary Space Battles,Conflicks - Revolutionary Space Battles,Nov 5 2015,63,147,10,6098,44,14.99
288880,288880,Pineview Drive,Pineview Drive,Jul 31 2014,58,324,12,45375,20,19.99
288930,288930,The Charnel House Trilogy,The Charnel House Trilogy,Apr 16 2015,68,284,6,27261,18,5.99
289130,289130,Endless Legend,Endless Legend(tm),Sep 18 2014,82,7008,9,889933,98,29.99
289280,289280,El Matador,El Matador,Apr 3 2014,54,137,14,22598,0,4.99
289300,289300,Faces of War,Faces of War,Apr 16 2014,67,314,11,60261,0,4.99
289460,289460,RC Cars,RC Cars,Apr 23 2014,65,117,8,11299,0,2.99
289520,289520,King's Bounty: Dark Side,Kings Bounty: Dark Side,Aug 19 2014,73,566,8,116039,37,15.99
289690,289690,Lara Croft and the Temple of Osiris,LARA CROFT AND THE TEMPLE OF OSIRIS(tm),Dec 8 2014,73,872,8,257008,40,19.99
289800,289800,Dracula: The Resurrection,Dracula: The Resurrection,Apr 17 2014,67,157,8,36767,0,4.99
290080,290080,Life is Feudal: Your Own,Life is Feudal: Your Own,Nov 17 2015,63,6745,12,394210,150,39.99
